text,label
به نظرم یک داستان گوی خیلی خوب چون عین به عین داستان اصلی نبود و یک برداشت بسیار جالب شده بود که شیرینی های داستان اصلی رو درون خودش جا داده بود. از لحاظ بصری بسیار لذت بخش و دوربین کارگردانی شده خوبی داشت و لحظات لذت بخشی رو برام ساخت و تجربه جدیدی بهم اضافه کرد. نداشتن درجه سختی و مبارزات ساده، به دلیل اینکه تمرکز روی روایت داستان بود برام منطقی بود.,1
"خطر اسپویل مکعب سیاه، بازی عالی بود مخصوصا اخر بازی که دو انتخاب سرنوشت ساز برای فرهاد وجود داشت و به داستان کاوه آهنگر و ضحاک هم اشاره ای شد.اما هوش مصنوعی دشمنا و حرکاتشون به شدت تکراری بود و داستان خیلی کوتاهT در آینده انتظار یه بازی تمام عیارتری داریم ,با قدرت جلو برید که امید این صنعت به شماست.",0
از نظر بصری و موسیقایی، تجربه بسیار دل انگیز و زیبایی بود. مشخصه که برای طراحی محیط ها و شخصیت ها واقعا زحمت کشیده شده. با اینکه از بازی هایی با پایان های غم انگیز یا به قول نویسنده ها، «پندآمیز» (!!) خوشم نمیاد، اما در کل، تجربه مثبتی بود و امیدوارم ادامه داشته باشه.,1
بازی بسیار فوق العاده ای هست. اما یک سری مشکلات جزئی هم دیده میشه که شاید به صورت کلی در بازی مشخص نباشه ولی به هر حال گفتم که اونا رو بنویسم: 1. در پایان بد بازی، اشتباهی در روایت داستان رخ می‌دهد. طی آنچه که فرهاد در خواب می‌بیند، باید در صورت انتخاب بد بازی، هدهد را هم به همراه خود از قلعه فراموشی خارج کند و اصلاً همین خارج کردن هدهد است که باعث می‌شود آن ابتدای بازی هدهد به همراهش باشد. واقعاً واقعاً با این داستان جذاب، حیف است که این قسمت داستان اشتباه روایت شده است. 2. در قسمتی از بازی که فرهاد مجسمه هایی از خود را با شکل های متفاوت مشاهده می کند، منطقه با نوار بنفش رنگی محصور شده که بازیکن نتواند از این منطقه خارج شود در حالی که به اشتباه یک قسمت از این نوار، از قد بازیکن، ارتفاع بیش‌تری دارد و به راحتی می‌شود از آن عبور کرد و بازی به مشکل عبور بازیکن از دل تمام مجسمه ها و سخره ها مواجه میشه. 3. بار اول که بازی رو اجرا می‌کردم، ذخیره بازی در هر مرحله به صورت نقطه به نقطه انجام می‌شد اما بعد از بازی در دفعات بعد، ذخیره بازی در هر مرحله فقط یک بار انجام می‌شد. 4. نامه هایی که خسرو برای فرهاد می فرستند بر اساس زبان های مختلف که کاربر انتخاب می کند متفاوت می شوند اما یک نکته فراموش شده است و آن اینکه برای زبان های راستچین، نامه باید به صورت راستچین نمایش داده شود در حالی که همانند زبان انگلیسی به صورت چپ چین نمایش می دهد. 5. در ترجمه گزینه های موجود به زبان فارسی، دو کلمه chapter و checkpoint معنا نشده اند.,1
سلام و خدا قوت بازی در سطح خوبی قرار داشت ولی یک نکته توجه ام رو جلب کرد؛ اینکه نویسنده ی بازی یک فرد غیر ایرانی به نام tom killalea هست! یعنی یک خارجی ترجمه کتاب نظامی رو خونده و داستان گفته اونم البته اقتباسی؟! یعنی فکر نمیکردم شالوده ی اصلی بازی توسط یک خارجی نوشته شده باشه و یه کمی تو ذوقم خورد و به دلیل اهمیت بعد داستان برای بنده، برا همین یک ستاره کم میدم ولی از ارزش هنری و روایی و جذابیت داستان بازی چیزی کم نمیکنه. مگرنه المان های ایرانی بازی زیاده. و یک سوال هم برام مطرح شده که آیا افسانه هایی هم وجود دارن، که داخلش سخنی از توحید اومده باشه؟ چرا بازی های اساطیری ایرانی و خارجی وجه مشترک همشون تهی از توحید و یگانگی خداست؟؟؟ کسی اگر نمونه ای خلافش میشناسه بگه,1
بازی از نظر اقتباس داستانی و روایت داستان عالیه. متن ها کاملا ادبی و ایرانی است . موسیقی بسیار گوشنواز و دلنواز است. گرافیک هنری و فضا سازی محشره. صداگذاری هم عالی کار شده اما گیمپلی می تونست چالشی تر باشه مثل چندین سلاح مختلف که هر کدوم برای بعضی از دشمن ها کاربرد داره و همچنین درخت مهارت و جاخالی دادن های به موقع و از این قبیل خسته نباشید خدا قوت به امید ساخت بازی های ایرانی اقتباس شده از تاریخ و فرهنگ غنیمون,1
عالی - دم سازنده بازی گرم - خیلی حال کردم باهاش - خسته نباشید,1
سلام بازی عالی هستش اما حیفه اگه دوبله نشه,1
عالی.,1
بازی خیلی عالی بود البته به شدت کوتاه ولی با توجه به اینکه دمو یا نسخه نمایشی بازی هستش. نقاط قوت:۱-تنوع خیلی خوب مراحل تو دمو ۲-اتمسفر خیلی عالی و شدت گیرا ۳-ایده ی خیلی عالی از کمیک ها به عنوان میان پرده یا همون کاتسین ها ۴-قابلیت این رو دارید بازی یا مراحل دلخواه خودت رو بسازی. با اینکه کوتاه بود ولی جلوه های صوتی عالی بودند. نقاط ضعف:۱-کوتاه بودن داستان(بالشت‌ها باز تاکید می کنم این دمو هستش و قاعدتا کوتاه هستش(,1
سلام این بازی خیلی خوب طراحی شده واقعا داستان بازی خوب و گیم پلی عالی داره با حرکاتی که توی این سبک بازی کاملا خوب و متنوع است. دشواری بازی هم به مرور زیاد میشه و این خیلی خوب به چشم میاد در مورد کلید های بازی هم من همون اول از بخش تنظیمات کلید های بازی رو به دلخواه چیدم که خیلی تو بازی بهم کمک کرد این بازی میتونه یکی از شاهکار ها بشه حتما تا نسخه نهایی با قدرت ادامه بدید,1
از اینکه دموی این بازی رو برای امتحان کردن گذاشتید ممنونم بازی خوبی هست,1
خیلی عالیه.البته این نسخه نمایشیه.خود بازی که محشره.,1
این بازی محشره ... امیدوارم ادامه بدن ساخت این بازی رو,1
سلام بازی خوبی بود ولی کلید های حرکت خوب نبود منظورم این است که مثلا برای پرش از کلید اسپیس استفاده نشده بود برای هم بازی سخت شده بود اگر میشه برای حرکت از کلید های a و s استفاده شود و با کلید چپ موشواره بری ضربه شمیشر استفاده شود و برای پرتاب تیر از کلید راست موشواره استفاده شود. وقتی وارد بازی می شویم نشانگر موشواره داشته باشد تا راحت تر گزینه های مورد نظر خود را انتخاب کنم. با تشکر,1
گیم پلی بازی سساده روان که این خیلی خوبه ولی کاش سلاح های بیشتر توی بازی بود چون بازی کنا دوسست داران بتونند جزئیات بازی رو تغییر بدن,1
بازی خیلی کیفیت خوبی دارد واقعا لذت بردم و یک خوبی دیگه ای هم که داره اینه که با دسته به غیر از دسته ایکس باکس هم میشه باهاش بازی کرد من با دسته انماکس تونستم بازی کنم,1
عالیه ولی کاش هیولا بازی های کرک بزاره و یه فضای چت برای مخاطباش ارایه بده عالی هیولا,1
عالیی,1
سلام،این بازی مشکلات ریز و درشت خودش البته نقاط قوت هاشیادتون نره رو داره، نقاط قوت:۱-گیمپی هیجانی و خیلی خوب بازی،حس شوتم اپ بودن بازی خیلی خوب منتقل می کنه ۲-به شدت اتمسفر گیرا ۳-جلوه های و افکت های صوتی عالی و محشر ۴-تنوع نسبتا خوب آپگرید ها،البته بازم جای کار بیشتری داره ۵-تنوع دشمنان در هر مرحله ۶-تنوع حمله دشمنان در هر مرحله نقاط ضعف:۱-بعصی از دشمنان اصلا کلا خلی قوی هستند ۲-یک یا دو مرحله آخر موجود تو بازی کلا دشمنان خیلی قوی نیستند,0
بازی خوبیه. گرافیک و گیم پلی عالی. فقط یه مشکل رو مخ اینه که، وقتی میبازی تمام سکه ها از بین میره و حتما باید ببری تا سکه بگیری. لطفا این رو اصلاح کنید. دوم این که سلاح های جدید بیارید. من سفینه رو تا لول آخر بردم. ولی در کل سرگرم کنندس.,1
بازی از نظر گیم پلی، موسیقی و تنوع دشمنان فوق العاده ست و نکته جالب این که با ارتقا دادن تیر و لیزر انیمیشن شون هم عوض میشه یعنی تعداد و سرعت تیرها عوض میشه و رنگ و ضخامت لیزر تغییر پیدا میکنه فقط اگه بازی تیرها و لیزرهای متنوعی داشت که هر کدوم قدرت و قابلیت ویژه خودش رو داشت و هر کدوم رو میشد ارتقا داد به نظرم دیگه عالی میشد. دم سازنده ها گرم.,1
فوق العاده بازی جذابی بود بهترین بازی شوتر ایرانی دمتون گرم خداییش لایییییییییییک,1
بازی هنوز جای کار داره. برای مثال باید گیم پلی روون تر باشه و سفینه هم راحت تر حرکت کنه و بنظرم یک قابلیت شخسی سازی هم باید اضافه بشه و کلی چیز های دیگه.قطعا بهترین بخش بازی که باعث میشه مخاطب هم ازش لذت ببره قطعا موسیقیه. موسیقی ها تو این بازی فوق العاده ساخته شدن,0
بازی خیلی جای کار داره ، نکاتی که به نظرم لازم بود رو به سازندگان گفتم امیدوارم نسخه اصلی نسبت به این دمو خیلی پیشرفت داشته باشه,0
عالی من فقط میخواستم اگه میشه این بازی رو ریمستر کنید میدونم زمان بر هست اما بازی خوبیه و نگزارید بازی ها رو به امان خدا بخدا اگه این بازی ریمستر بشه خیلی طرفدار داره,1
عالیه درسته لگ داره ولی خب عالیه,1
بازی به شدت ضعیف گرافیک افتضاح بهینه شده و لگ بالا سیستم کامبت فوق العاده کند و ضعیف داستان بی محتوا شخصیت پردازی هم داغون انصافا درسته که صنعت نوپاست ولی تقلید میکردن لااقل با اینکه خودم طرفدار بازیای ایرانیم این اولین بازی ایرانیه که خریدم و میگم افتضاحه,0
به امید خدا بازی بعدی تاریخ دیگر مرسی ادامه بدید,1
بازی خوبیه اون هایی که شک دارند توصیه می کنم بخرید: چون 1. هم داستان قوی داره و هم صدا گذاری خوبی داره و شخصیت های جالبی داره و این بازی بخشی از تاریخ کشورمان را روایت می کنه.در ضمن به یک سری جزییات مثل سلاح ها و معماری و نقش و نگارها و لباس ها و ... خوب توجه شده. 2.از یک محصول ایرانی حمایت می کنید.,1
عالی بوووود,1
خخخخخخخیییییییللللللللییییییی عععععععااااااااالللللللیییییییییی,1
بازی خوبه ولی مشکلات زییادی داره مثل باگ و گرافیک پایین و... ولی در کل بازی خوبیه ولی این مشکلاتی که بیان کردم جلوی عالی بودنشو میگیره وگر نه عالی این بازی مثل MOUNT AND BLADE WARBAND میمونه اگر دنبال یه بازی مثل همین بازی ولی عالی تر و بهتر میگردید اینو بازی کنید,0
خسته نباشید. کاری به مشکلات مختلف بازی ندارم، چرا برای تیر و کمان نشونه نذاشتید؟؟؟؟؟ بعدم بزارید یکم بازی کنیم، نیم ساعته فقط دارم آموزش پشت آموزش میبینم. بیخیال بازی شدم.,0
همه چیز جز صداگذاری در پایین ترین سطح ممکن,0
لذت بردم و دارم میبرم واقعا بی نظیر بود و همچنان دارم لذت میبرم ازش,1
خیلی بازیه خوبیه به نظرم بیشتر ازینا میارزه💚🐸 فقط تو یکی از مراحل آخرش باید حتما از راهنما استفاده کنین,1
بازی عالی که می تواند حس کودکانه ی شما را قلقلک بدهد 1-نقاط قوت: 1-تنوع عالی و شگفت انگیز در پازل ها و مینی گیم ها 2-حس کودکانه ی شما رو خیلی عالی فعال می کند،این قدر عالی که می تونه برای بچه های بالای سن ۷ هم خیلی عالی هستش. 3-تنوع خیلی خوب و جالب در مراحل 4-تنوع خیلی خوب در لوکشین ها و مکان ها با توجه به مدت زمان گیمپلی 5-QTE های باحال و هیجان انگیز 6-باس فایت باحاتل و شگفات انگیز با رییس راهزنان نقاط ضعف: 1-بعضی از اشیایی رو که باید پیدا بکینم اصلا به راحتی پیدا نمی شوند حتما باید از راهنمایی که شارژ شده بیاد استفاده بکنیم تا اون وسیله رو پیدا بکنیم.,1
بازی عالی هست ظاهران کودکانه است اما باهرسنی می شود بازی کرد,1
بازیه خیلی خوبیه حتما بازی کنید : ),1
بازی معمایی دوسست ندارم ولی این بازی خوبی بود و سر من را خوب گرم کرد,1
سلام و عرض ادب - بازی بسیار داستان و اتفاقات خوبی رو رقم میزنه و معما های بازی جالب بود اما اشکالات اصلی در بازی وجود دارد. نخست گرافیک بازی هست ، کاشکی گرافیک رو فانتزی و مثل بازی خاله قزی طراحی میشد . مورد بعد رزولیشن بازی هست. همینطور انتقال داستان به مخاطب تنها و تنها از طریق یک سری تصاویر منتقل میشد . نتیجه کلی : ساختار بازی بسیار ساده هست اما شاهد اتفاقات شیرین در بازی هستیم و میتونید دقایقی رو سرگرم بشید . من پیشنهاد میکنم عنوان انقراض که از دیگر ساخته های این گروه هست رو تجربه کنید به مراتب از کیفیت بیشتری برخوردار هست,0
یکی از بهترین بازی های ایران دوستان بازیو از رو گرافیکش قضاوت نکنید خیلی بازیه خوبیه,1
اول اینو بگم که از رو عکسا بازی رو قضاوت نکنید. باید بازی کنید متوجه بشید. خیلی بامزه بود. واقعا دوست داشتم.,1
جزو بهترین و جالب ترین بازی های ایرانی در این سبک بود، واقعا لذت بردم، دمتون گرم,1
کاش بازی های رایگان هیولا بزارن به صورت کرک زیرا بعضیا پول ندارن و فضای چت درست کنن,0
واقعا بازی خوبیه من این مدل بازی رو فقط از دید مدافعین بازی کرده بودم ولی این بازی از دید مهاجمین جالب و سرگرم کننده بود پیشنهاد می کنم حتما بازی کنید,1
بازی بسیار قشنگیه و تو سبکه خودش یونیکه تو این بازی برخلاف بازی های هم سبکش که در نقش مدافع ظاهر می شدید در نقش مهاجم ظاهر میشید در کل بازی بسیار خلاقانه ای هست حتما تجربه اش کنین,1
بازی خوب و سرگرم کننده‌ای بود.,1
بازی زیبایی بود ولی فکر نکنم ایرانی باشه ، لنگویچ فارسی هم نداشت. ولی در هر صورت زیبا بود,1
بازی فوق العاده ست. مطمئنا برای طرفداران بازی های استراتژی ارضا کننده خواهد بود.,1
بازی خوبیه,1
بازی خوب و عالی هستش نقاط قوت:۱-گرافیک خیلی خوب و هیجانی برای یک بازی زامبی کشی،البته سبک گرافیکی این بازی به داستان کلی بازی خیلی خوب می خوره ۲-تنوع خوب اسلحه ۳-به مرور زمان می تونید اسلحه های خوب و البته با تنوع رو از قبل باز کنید ۴-حجم به شدت کم ولی تو این حجم کم محتوای عالی و البته بسیار قانع کننده داره. نقاط ضعف:۱-بعصی مواقع بازی سخت می شه برات البته با چند بار مردن می تونید بازی رد بکنی اگر بازی زامبی کشی خوب و با این حال بازی کمتر از یک گیگ حجفصا رو اشعال بکنه،به پیشنهاد من برو این بازی رو تجربه بکن.,1
بازی بدون هیچ داستان خاصی و در عین حال تا حد زیادی لذت بخش و فان. دارای مراحل تا حدی تکراری.,0
فقط میتونم بگم واقعاً بازیه خوبیه،گیم پلی روون و تصویر سازیای زیبای بازی،موسیقیشم به اندازه کافی خوبه,1
اگر یکم تنوع اسلحه ها و دشمنان زیاد تر بود و شخصیت اصلی بازی قابلیت های خاص بیشتری داشت خیلی این بازی عالی میشد، یک مشکل دیگه هم خیلی کوتاه بودن بازی (هفتاد دقیقه) بود. ولی معلومه روی محیط ها و انیمیشن ها و گیمپلی زیاد وقت گذاشتید ایول.,1
عالی,1
بازی جالبی نبود برام,0
عالی بود وزیبا وساعتها مشغول بازی کردنش میشید وبهتون بیشنهاد میکنم این بازی جذاب رادانلود کنید,1
این جنگ من فارسی شد ولی این بازی نه! یک ستاره میدم تا زبان فارسی هم اضافه بشه,0
عالی ، خیلی خوب بود ، ✌👍 ( بچه ها متن و دوبله خاصی نداره که فارسی بخوات . داستانش رو هم ، که با کمیک کوتاهیی که به صورت فیلم نشون داد بیان کرد ، که اونم دوبله خاصی نداشت ) واقعا بازی عالی بود ، تمام اچیومنت هاش رو هم گرفتم ، دستتون درد نکنه ، بسی حال داد 🌹🌹🌹,1
بازی گیم پلی عالیی داره و اصلا خسته کننده نیست. با تشکر موفق باشید.,1
عالی اما به این سختی لامبورگینی خریدم,0
بازی عالی هست من 6 سال هست که دارمش . فقط کاش داستان های دیگه ای هم داشت,0
این بازی خیلی خوب هستش نقاط قوت:۱-سیستم اچیومت خیلی عالی و باحال و با حال هوای بازی خیلی هم خونی داره. ۲-گرافیکی خیلی خوب ۳-تنوع خیلی عالی تنظیمات گرافیکی ۴-ارتقاء های بازی واقعا روی گیمپلی بازی تاثیر گذار هستند ۵-داستان کلی خیلی خوب و بسیار خیلی خوب ۶-تنوع ماشین ها عالی ۷-پویایی عالی آب و هوایی مثال:اگر باران بباره تو بازی واقعا روی بازی ات تاثیر می ذاره و ماشین خیلی لیز می خوره،این واقع گرایی پویایی واقعا محشر هستش ۸-دوبله های شخصیت ها عالی این گار داری سریالی تلویزیونی از شبکه های ایران می بینی ۹-صدای اگزوز ماشین ها عالی و تنوع خیلی خوبی دارند نقاط ضعف:۱-اشکالات کوچیکی در هوش مصنوعی پلیس ها ۲-افت فریم هایی هم داره(البته هم بازی رو بالاترین تنظیمات گرافیکی بردم و هم گرافیک من هم اون قدر ها م بالا نیست)،البته یک سری قسمت هایی هم افت داره ۳-شخصیت های کمی البته من تو اوایل بازی هستم قاعدتا هم چیزی هم تو بازی های دارای داستان هم پیش میاد.,1
بهترین بازی ریسینگ ایرانی فقط کاش وقتی بازی روتموم میکنی دیگه نره از اول کل زحماتت هدر بره,1
بدک نبود به خوبی بقیه ریسینگ ها نبود رفلکشناش خوب بود و گرافیک و جزعیات بازی هم خوب بود یه چندتا مشکلهم دارع اونم این خیلی دست کاربر باز نیست که بتونه تنظیمات کیبورد رو تغییر بده بعدش اینکه نمیشد کمرا ماشین رو تغییر داد یه مقدار روی صدای بازی باید کار شه روی نقشه نمیتونی مسابقه هارو مارک کنی رانندگی هم خیلی نرم نبود مثل بازی های دیگه در کل بد نبود ولی خوب هم نبود,0
عالیییی بهتر از این توی ریسینگ ندیدم,1
بزرگترین مشکل بازی نمیشه ماموریت هارو در نقشه مارک کرد بازی خیلی یک نواخت به مرور کسل کننده میشه دوربین بازی وقتیکه میخوام دنده عقب برم هی جلو عقب میشه,0
بازی خیلی عالی حتما نصب کنید خیلی باحال و عالی هست دستتون درد نکنه گروه هیولا,1
بازی بازی راحتی نیست اصلا شما باید حواستون به همه چیز باشه وهمین بازی رو جذاب می کنه » موسیقی بازی واقعا جذابه و همین طور فضای بازی این بازی اصلا شما رو از خریدش پشیمون نمی کنه,1
عالیه بازی خوبیه مخصوصا اینکه فارسی داره که باعث میشه نسبت به انگلیسی بهتر بفهمم. لطفا بقیه بازی انگلیسی زبان رو هم ترجمه کنید.,1
عالی ممنون از تیم فن افزار بابت انتشار بازی های بین المللی در سایت هیولا,1
عالیس,1
سلام بازی عالیه فقط لطفا جواب بدید که دی ال سی بازی رو کی میزارید؟ اینهمه دوستان درخواست می کنند امیدوارم به فکر باشید,1
بازی عالیه فقط اپدیتشو بزارید لطفا,1
بازی سبک جدید و جالبی بودو لذت بردیم فقط کاشکی میشد هم دی ال سی هاشو میاوردید و هم جدیدترین ورژنش رو میذاشتید,1
خیلی چیزا از این بازی یادگرفتم، خیلی ممنونم که قرارش دادین تا بصورت قانونی بازی کنیم. ولی حدس می زنم بعضی از المان های گیم بخوبی کار نمیکنه کاش میتونستین آپدیت ها را هم قرار بدین,1
این بازی روحتونو خورد میکنه... امیدوارم شاهد بازی های خارجی با دوبله فارسی بیشتری در اینده باشیم,0
این بازی خوب و عالی اگر یه شبیه شاز جنگ می خوای این بازی رو اذنتخاب بکن نقاط قوت: 1-شخصیت پردازی خوب و قانع کننده دباره زندگی(بخصوص درباره توانایی هاشون به شکل یادداشت نوشته می شود) 2-افکت های صوتی خوب و با کیفیت 3-تنوع خب و جالب از نقشه های قابل غارت در این بازی 4-تنوع زیاد و عالی و شگفت انگیز از وسایل(به خصوص که توسط خودت ساخته می شود.) 5-خیلی خوب می تواند به تو یک جنگ واقعی رو برات مهیا بکنند(بخصوص آهنگ ها ، افکت ها ها و همچنین لول دیزان هاش حرف ندارد.) نقات ضعف: 1-تا اونجایی که من مکتوجه شدم فقط نوع رنگ بندئی اش چشمات رو اذیت می کنه هر چند بهش عادت می کنی به مرور زمان,1
رفع لگ و افت فریم شدید: اگه سیستم شما دوتا کارت گرافیک داره و موقع اجرای بازی حس کردین که بازی به شدت گیر میکنه و یا لودینگ ها طولانین احتمالا به این دلیل هست که بازی داره روی گرافیک آنبورد و ضعیف شما اجرا میشه. برای رفع مشکل باید برید تو تنظیمات گرافیکی سیستمتون و توش همه برنامه ها و بازیارو روی اجرا با کارت گرافیک قوی تر تنظیم کنین. اگه بازی فایل exe داشت کار راحت تر بود و نیازی به تنظیمات همگانی نبود. بررسی بازی: شبگرد نسبت به سال ساختش به عنوان به بازی ایرانی به شدت قوی و صاحب نظر به حساب میاد. از گرافیک و موسیقی متن تا داستان و گیم پلی، هرچند که تو این مسیر باگ های فیکس نشده و خلا های داستانی ایراداتی رو به بازی وارد کردن ولی شبگرد رو به همه گیمر های ایرانی توصیه میکنم.,1
بازی شبگرد بسیار عالی...مانند اونو ندیدم....مشکل بازی های خارجی اینه که ۹۹ درصدشون دارای تصاویری( ولو کم) هستند که با فرهنگ ما نمیخونه...یعنی اونا از قصد این تصاویر رو میذارن تا جوونای ما رو منحرف کنند...حالا جوونای ما همت کردند و بازی های ایرانی رو ساختند که حداقل یک ارزش خوب انسانی رو به نوجونامون یاد میدن...این بازی سازای ایرانی به دنیا نشون دادند که ما نمیذاریم خارجی ها بی رویه هر بازی ای که خواستند بفرستند ایران و اینکه ما خودمون میتونیم....از دوستان و سرمایه گذاران خواهشمند هستم که از این بازیسازان حمایت کنند...مانند بازی خلیج عدن برای کامپیوتر اون صدا گذاری رو تو هیچ call of dutyندیدم...لازز مختار،و....اگر حمایت بشوند جلوی تهاجم فرهنگی گرفته میشه....بازی تون عالی و جذاب بود...رویای کودکیم همچین بازی ای بود..با تشکر,1
بازی خیلی عاااااااااااالیییییییییی,1
چندسال پیش موقعی که اولین بار تریلر این بازیو دیدم واقعاً جذبش شدم ، همین چند وقت پیش هم بعد از مدت ها تونستم این بازیو تجربه کنم ، نظر کلی من درمورد این بازی اینه که سازنده هاش نتونستن از پتانسیل کامل این بازی استفاده کنن ، ولی با این حال بازی بدی نیستا ، بلکه تا قبل از اومدن چیلدرن آف مورتا بدون شک بهترین بازی ایرانی بود بازی نسبت به سالی که عرضه شده گرافیک بهتری نسبت به بقیه بازیای ایرانی داشت ، بلاخره با آنریل انجین ۳ ساخته شده ؛) بازی هیچ نوآوری نداشت و بزن بکش خالص بود ، شاید تنها چیزی که میشد یجورایی اونو خاص حساب کرد ، کند کردن زمانه که اونم تو بازیای زیادی مثالش رو دیدیم حتی بهترشو! استفاده از quicktime event ( منظور همون صحنه هایی تو بازیه که دکمه ای روی صفحه نمایش ظاهر میشه و با زدنشون تو بازی پیشروی میکنید و از مرگ نجات پیدا میکنید ) در مقابل باس ها و جاهای مختلف اصلا ایده ی جالبی نبود به نظرم جلوه های صوتی بازی واقعاً بد بود و اصلا صداگذاریه درست حسابی نداشت امااا از اون طرف بازی توی گویندگی سنگ تموم گذاشته استفاده از گویندگان حرفه ای مثل « مجید حبیبی » و « محمدرضا علیمردانی » باعث جذابیت کار شده موسیقی که هم که اصلا نگم ، در یک کلمه شاهکار! درسته که بازی ضعف و نقض های زیادی داشته ( مثل : نداشتن جامپ ، سخت شدن برای طولانی تر کردن زمان گیم پلی ، بافت ضعیف لباس شبگرد و.. ) اما با این حال ارزش حداقل یک بار امتحان کردن رو داره! از من گفتن باشه ، وقتی رسیدید به مرحله ی آخر پیشنهادم اینه که بازیو پاک کنید چون هیچ جوره نمیتونید اون هلیکوپتر رو بترکونید! :))) مخلص همتونم ؛) Writer : Pouya H Instagram : @idyllic_fx Telegram : Idyllic_stunt,0
گیم پلی و داستان بازی واقعا فوق العاده ست داستان بازی مثل یه فیلم پلیسی جنایی میمونه و عالی طراحی شده اگه نسخه های جدید از این بازی درست بشه به نظرم میتونه کلی طرفدار پیدا کنه,1
عااالی اما فقط دیر به دیر سیو میشه,1
بازی بسیار عالیب هست حال کردم باش ولی مرحلهی اول خوب طراحی نشده بود در کل عالی بود,1
خوبه 2 اش نمیاد؟,1
تا با فروشگاه هیولا آشنا شدم که 3 سال پیش میشه یکی از کارهایی که کردم درخواست این بازی بود چون اون روزی که بازی تازه وارد بازار شده بود نتوستم بازی رو تجربه کنم حال بعد از سال ها یک روزی رسید که تونستم بازی رو تجربه کنم و آیا این بازی ارزش این همه خاطره خوب رو داشت؟ متاسفانه خیر.... بازی هنوز جای کار داره و صفحه لودینگش حتی با ssd بازم طول میکشه و دشمنان همه یک هو با هم میریزن سرت اگر میخواهید هنوز خاطره خوب از این بازی داشته باشید این بازی رو تجربه نکنید اگر هم نه که هیچ. تجربه من از این بازی مثل روندن ماشین پراید با فرمون غیر هیدرولیک بود.,0
هیچ حرفی ندارم.بازی عالی بودش.درسته که توضیحاتی هست و مشکلاتی داره ولی در کل واقعا عالی بود من عاشقش شدم.,1
عالیه +اکشن سریع و جذاب +روایت میان پرده ها با پنل های کمیک +کم بودن باگ +گیم پلی خفن,1
خیلی بازی خوبیه ولی مرحله ای که باید استاد آکوما رو شکست بدی مشکل داره از فاز دوم به بعد دمیج نمیخوره و نمیشه رد کرد,0
با بازی های هم سبکش می تونه واقعا رقابت کنه,1
100 از 100 واقعا بازی فوق العاده بود *** به شدت پیشنهاد میشه*** کاش یه بازی انلاین بر پایه این بازی با گیمپلی شبیه به بازی Stick Fight: The Game ساخته بشه,1
